Id,Name,Surname,Initials,Age,DateOfBirth
1,"Sasha Cohen",Bolton,SC,25,1997-03-26
2,"Sasha Cohen",Abbott,SC,23,1999-10-21
3,Annalette,Mahoney,A,68,1954-05-05
4,Jowan,Guerrero,J,58,1964-10-07
5,Francois,Acosta,F,76,1946-07-17
6,Katya,Acosta,K,28,1994-03-21
7,Phillip,Barnard,P,42,1980-08-15
8,Ricus,Abbott,R,57,1965-07-05
9,Carl,Hood,C,67,1955-12-01
10,Thomas,Moore,T,37,1985-10-12
11,Thomas,Harmon,T,49,1973-07-18
12,"Sasha Cohen",Kirk,SC,20,2002-04-04
13,Ricus,Cline,R,70,1952-06-28
14,Amiel,Hubbard,A,65,1957-10-19
15,Annalette,Cline,A,59,1964-02-19
16,Katya,Hubbard,K,51,1971-09-24
17,Genise,Mahoney,G,60,1963-02-18
18,Nico,Hood,N,28,1995-01-08
19,Carl,Kirk,C,51,1971-05-22
20,Sean,Pierce,S,56,1967-01-04
21,Jacques,Quinn,J,46,1976-03-16
22,Jowan,Mcclain,J,45,1977-08-11
23,Jacques,Mcclain,J,81,1941-03-24
24,Megan,Jensen,M,79,1943-08-27
25,Annalette,Cline,A,62,1960-06-14
26,Thomas,Hood,T,40,1982-09-07
27,Katya,Bolton,K,81,1941-03-25
28,Carl,Mahoney,C,30,1992-12-29
29,Luis,Henderson,L,49,1973-09-29
30,Luis,Quinn,L,56,1966-11-19
31,Pranav,Abbott,P,52,1970-03-11
32,Jowan,Robbertze,J,27,1996-01-02
33,Luis,Barnard,L,57,1965-10-14
34,Carl,Henderson,C,43,1979-06-06
35,Bianca,Jensen,B,43,1979-06-24
36,Bianca,Robbertze,B,74,1948-12-28
37,Thomas,Mahoney,T,36,1986-11-14
38,Vance,Barnard,V,45,1977-08-02
39,Sean,Hubbard,S,62,1960-10-03
40,Phillip,Jensen,P,56,1966-07-06
41,Carl,Pierce,C,77,1945-09-23
42,Thomas,Acosta,T,21,2002-01-06
43,Bianca,Acosta,B,44,1978-06-22
44,Amiel,Harmon,A,72,1950-12-06
45,Francois,Hubbard,F,55,1967-06-27
46,Ricus,Abbott,R,22,2000-06-01
47,"Sasha Cohen",Robbertze,SC,52,1970-09-22
48,Amiel,Mahoney,A,69,1953-07-25
49,"Sasha Cohen",Henderson,SC,60,1962-10-08
50,Amiel,Guerrero,A,50,1972-04-13
51,Vance,Robbertze,V,69,1953-08-19
52,Francois,Barnard,F,66,1957-02-18
53,"Sasha Cohen",Henderson,SC,77,1945-09-02
54,Annalette,Henderson,A,55,1967-09-22
55,Carl,Huynh,C,70,1952-12-03
56,Francois,Huynh,F,81,1941-05-10
57,Annalette,Mcclain,A,46,1976-05-02
58,Amiel,Quinn,A,82,1940-10-04
59,Annalette,Acosta,A,28,1994-06-26
60,Annalette,Robbertze,A,80,1942-09-06
61,Amiel,Guerrero,A,73,1950-03-02
62,Vance,Bolton,V,26,1996-05-03
63,Pranav,Moore,P,52,1970-10-29
64,Luis,Robbertze,L,81,1942-02-09
65,Pranav,Pierce,P,45,1977-10-18
66,"Sasha Cohen",Pierce,SC,63,1960-01-20
67,Bianca,Pierce,B,70,1952-04-20
68,Luis,Kirk,L,79,1943-03-14
69,Genise,Mcclain,G,37,1985-05-03
70,Amiel,Spears,A,75,1947-12-01
71,Jowan,Mcclain,J,67,1955-07-03
72,Sean,Robbertze,S,38,1984-10-12
73,Genise,Mahoney,G,70,1953-02-06
74,Erica,Cline,E,68,1954-07-30
75,Ricus,Bolton,R,24,1998-07-19
76,Annalette,Pierce,A,37,1985-07-15
77,Ricus,Robbertze,R,20,2002-03-16
78,Amiel,Quinn,A,29,1993-06-10
79,Amiel,Guerrero,A,43,1979-12-27
80,Ricus,Abbott,R,64,1958-08-11
81,Ricus,Abbott,R,30,1992-11-27
82,Amiel,Acosta,A,36,1986-11-16
83,Katya,Barnard,K,61,1961-07-11
84,Vance,Guerrero,V,54,1968-05-01
85,Nico,Jensen,N,79,1943-07-12
86,Bianca,Moore,B,34,1988-10-15
87,Vance,Mahoney,V,30,1992-11-24
88,Pranav,Huynh,P,33,1990-01-26
89,Annalette,Spears,A,34,1988-03-15
90,Pranav,Quinn,P,39,1983-10-31
91,Phillip,Hubbard,P,25,1998-01-24
92,Jacques,Hubbard,J,52,1970-04-18
93,Bianca,Henderson,B,71,1951-08-03
94,Genise,Acosta,G,33,1989-07-24
95,Amiel,Guerrero,A,49,1973-08-13
96,Megan,Bolton,M,75,1947-11-15
97,Vance,Barnard,V,69,1953-10-21
98,Megan,Kirk,M,49,1973-05-25
99,Vance,Abbott,V,70,1952-12-29
100,Jowan,Huynh,J,20,2003-01-09
